ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2020,71,10/02/2019,940,53.085,-52.9533,SAT-HIGH,GEN,GEN,SN1A
2020,25,10/02/2019,2141,57.9767,-59.87,SAT-HIGH,GEN,GEN,SN1B
2020,38,10/02/2019,2141,57.0217,-60.81,SAT-HIGH,GEN,GEN,SN1B
2020,39,10/02/2019,2141,59.135,-61.69,SAT-HIGH,GEN,GEN,SN1B
2020,72,10/02/2019,2141,57.035,-60.5367,SAT-HIGH,GEN,GEN,SN1B
2020,73,10/02/2019,2141,57.2467,-59.0283,SAT-HIGH,GEN,GEN,SN1B
2020,74,10/02/2019,2141,58.705,-60.0767,SAT-HIGH,GEN,GEN,SN1B
2020,4,10/02/2019,2141,56.1183,-57.54,SAT-HIGH,GEN,GEN,SN1B
2020,9,10/02/2019,2142,60.1233,-62.9083,SAT-HIGH,GEN,GEN,SN1B
2020,31,10/02/2019,2142,60.135,-63.635,SAT-HIGH,GEN,GEN,SN1B
2020,75,10/02/2019,2142,60.065,-60.0867,SAT-HIGH,GEN,GEN,SN1B
2020,31,10/03/2019,130,60.16,-63.6883,R/V,MED,TAB,CGDX
2020,38,10/03/2019,1710,57.0183,-60.8183,R/V,MED,NTB,CGDX
2020,21,10/03/2019,2132,53.6683,-55.7933,SAT-HIGH,GEN,GEN,SN1A
2020,52,10/03/2019,2132,54.0367,-54.7267,SAT-HIGH,GEN,GEN,SN1A
2020,19,10/03/2019,2149,56.7083,-60.525,SAT-HIGH,GEN,GEN,RSA2
2020,76,10/03/2019,2149,58.0917,-59.9733,SAT-HIGH,GEN,GEN,RSA2
2020,77,10/03/2019,2149,57.28,-59.6383,SAT-HIGH,GEN,GEN,RSA2
2020,78,10/03/2019,2149,56.645,-58.5067,SAT-HIGH,GEN,GEN,RSA2
2020,41,10/03/2019,2149,56.6333,-60.67,SAT-HIGH,GEN,GEN,RSA2
2020,43,10/03/2019,2149,57.705,-60.1017,SAT-HIGH,GEN,GEN,RSA2
2020,30,10/04/2019,315,55.0967,-58.3133,RAD,GEN,GEN,CGDX
2020,28,10/04/2019,630,54.8333,-57.3267,RAD,MED,GEN,CGDX
2020,79,10/04/2019,730,54.73,-56.8967,RAD,RAD,RAD,CGDX
2020,30,10/04/2019,2119,55.1,-58.3167,SAT-HIGH,GEN,GEN,RSA2
2020,80,10/04/2019,2119,56.085,-58.635,SAT-HIGH,GEN,GEN,RSA2
2020,81,10/06/2019,955,55.6883,-55.3217,SAT-HIGH,GEN,GEN,SN1B
2020,82,10/06/2019,955,54.7017,-55.8233,SAT-HIGH,GEN,GEN,SN1B
2020,83,10/06/2019,956,54.02,-57.035,SAT-HIGH,GEN,GEN,SN1B
2020,84,10/06/2019,956,53.36,-54.4617,SAT-HIGH,GEN,GEN,SN1B
2020,9,10/06/2019,1034,59.7133,-62.5233,SAT-HIGH,GEN,GEN,RSA2
2020,27,10/06/2019,1034,59.2083,-62.6133,SAT-HIGH,GEN,GEN,RSA2
2020,68,10/06/2019,1034,60.5917,-62.5783,SAT-HIGH,GEN,GEN,RSA2
2020,85,10/06/2019,1034,60.3417,-62.1167,SAT-HIGH,GEN,GEN,RSA2
2020,86,10/06/2019,1034,58.2717,-61.1883,SAT-HIGH,GEN,GEN,RSA2
2020,72,10/06/2019,1035,56.755,-60.3217,SAT-HIGH,GEN,GEN,RSA2
2020,17,10/07/2019,1005,56.8517,-60.7633,SAT-HIGH,GEN,GEN,RSA2
2020,33,10/07/2019,1005,56.7483,-60.7533,SAT-HIGH,GEN,GEN,RSA2
2020,39,10/07/2019,1005,58.3367,-61.425,SAT-HIGH,GEN,GEN,RSA2
2020,88,10/07/2019,1005,59.5833,-62.5417,SAT-HIGH,GEN,GEN,RSA2
2020,9,10/07/2019,1005,59.7033,-62.505,SAT-HIGH,GEN,GEN,RSA2
2020,32,10/07/2019,1005,58.5083,-60.6133,SAT-HIGH,GEN,GEN,RSA2
2020,45,10/07/2019,1005,58.6333,-60.6017,SAT-HIGH,GEN,GEN,RSA2
2020,87,10/07/2019,1005,56.4767,-59.3867,SAT-HIGH,GEN,GEN,RSA2
2020,86,10/07/2019,2132,58.2017,-60.675,SAT-HIGH,GEN,GEN,RSA2
2020,89,10/07/2019,2132,56.795,-59.485,SAT-HIGH,GEN,GEN,RSA2
2020,17,10/07/2019,2132,56.8467,-60.745,SAT-HIGH,GEN,GEN,RSA2
2020,38,10/07/2019,2132,56.4483,-59.9517,SAT-HIGH,GEN,GEN,RSA2
2020,76,10/07/2019,2132,57.8717,-59.7067,SAT-HIGH,GEN,GEN,RSA2
2020,77,10/07/2019,2132,57.0917,-59.785,SAT-HIGH,GEN,GEN,RSA2
2020,39,10/07/2019,2133,58.3867,-61.4683,SAT-HIGH,GEN,GEN,RSA2
