ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2013,1,12/12/2012,1200,57.50,-59.75,RAD,RAD,RAD,CWIS
2013,2,1/16/2013,1255,56.61,-59.15,R/V,SM,TAB,GPGR
2013,2,2/2/2013,2014,54.77,-54.60,R/V,GEN,GEN,GGAO
2013,2,2/26/2013,1250,51.90,-52.84,R/V,GEN,DD,GPGR
2013,3,1/16/2013,1258,56.35,-59.39,R/V,SM,TAB,GPGR
2013,3,2/2/2013,2003,54.56,-54.53,R/V,SM,DD,GGAO
2013,3,2/24/2013,1507,52.30,-53.19,R/V,SM,DD,GPGR
2013,3,2/26/2013,1256,51.91,-53.19,R/V,SM,DD,GPGR
2013,4,1/16/2013,1302,56.71,-59.64,R/V,SM,TAB,GPGR
2013,4,2/2/2013,2013,54.77,-54.58,R/V,GEN,GEN,GGAO
2013,4,2/24/2013,1805,52.43,-53.24,R/V,GEN,DD,GPGR
2013,4,3/24/2013,1145,50.30,-53.54,R/V,SM,DD,GGAO
2013,5,1/15/2013,1747,57.03,-59.89,R/V,MED,TAB,GPGR
2013,5,2/2/2013,2025,55.04,-55.58,R/V,MED,DD,GGAO
2013,5,2/26/2013,1305,51.79,-52.98,R/V,SM,TAB,GPGR
2013,6,1/15/2013,1754,56.81,-59.53,R/V,SM,DD,GPGR
2013,7,1/15/2013,1756,56.79,-59.39,R/V,MED,TAB,GPGR
2013,7,2/12/2013,1823,53.07,-52.35,R/V,SM,DOM,2005
2013,8,1/15/2013,1803,56.93,-59.65,R/V,SM,TAB,GPGR
2013,8,2/2/2013,1925,54.40,-54.71,R/V,MED,DD,GGAO
2013,8,2/24/2013,1747,52.78,-53.96,R/V,MED,TAB,GPGR
2013,8,3/24/2013,1221,50.16,-55.30,R/V,GEN,TAB,GGAO
2013,8,4/8/2013,1439,49.69,-54.50,R/V,MED,TAB,GGAO
2013,8,4/29/2013,1615,50.05,-53.84,R/V,GEN,GEN,GPGR
2013,9,1/15/2013,2005,57.57,-60.69,R/V,SM,GEN,GPGR
2013,10,1/15/2013,2006,57.24,-60.38,R/V,SM,GEN,GPGR
2013,11,1/15/2013,2007,57.39,-60.51,R/V,SM,GEN,GPGR
2013,12,1/15/2013,2008,57.52,-60.11,R/V,GEN,GEN,GPGR
2013,12,2/2/2013,1524,56.25,-58.98,R/V,GEN,GEN,GGAO
2013,13,1/15/2013,2008,57.40,-60.25,R/V,SM,GEN,GPGR
2013,13,2/2/2013,1558,55.91,-58.01,R/V,GEN,GEN,GGAO
2013,14,1/15/2013,2010,57.49,-60.99,R/V,SM,GEN,GPGR
2013,15,1/15/2013,2010,57.51,-61.09,R/V,SM,GEN,GPGR
2013,16,1/17/2013,1830,59.69,-62.51,R/V,GEN,GEN,VCLM
2013,16,2/2/2013,1413,58.01,-61.11,R/V,GEN,GEN,GGAO
2013,17,1/17/2013,2035,59.99,-62.80,R/V,GEN,GEN,VCLM
2013,17,2/3/2013,1719,58.29,-61.15,R/V,MED,BLK,GGAO
2013,18,8/27/2013,2230,58.79,-61.40,R/V,MED,GEN,VOKF
2013,19,8/27/2013,1740,57.84,-60.40,VIS,SM,GEN,VOKF
2013,20,8/27/2013,1740,57.84,-60.40,VIS,GR,GEN,VOKF
2013,21,8/30/2013,2147,55.63,-59.24,SAT-HIGH,RAD,RAD,RSA2
2013,22,8/30/2013,2147,55.65,-59.02,SAT-HIGH,RAD,RAD,RSA2
2013,23,8/30/2013,2147,56.09,-60.05,SAT-HIGH,RAD,RAD,RSA2
2013,24,8/30/2013,2147,56.08,-60.08,SAT-HIGH,RAD,RAD,RSA2
2013,25,8/30/2013,2147,56.13,-60.07,SAT-HIGH,RAD,RAD,RSA2
2013,26,8/30/2013,2147,56.15,-60.03,SAT-HIGH,RAD,RAD,RSA2
2013,27,8/30/2013,2147,56.42,-60.17,SAT-HIGH,RAD,RAD,RSA2
2013,28,8/30/2013,2147,57.06,-58.95,SAT-HIGH,RAD,RAD,RSA2
2013,29,8/30/2013,2147,57.07,-58.97,SAT-HIGH,RAD,RAD,RSA2
2013,30,9/4/2013,2130,56.50,-59.88,SAT-HIGH,RAD,RAD,RSA2
2013,31,9/4/2013,2130,55.17,-57.25,SAT-HIGH,RAD,RAD,RSA2
2013,32,9/4/2013,2130,55.17,-57.20,SAT-HIGH,RAD,RAD,RSA2
2013,33,9/4/2013,2130,55.07,-56.49,SAT-HIGH,RAD,RAD,RSA2
2013,34,9/4/2013,2130,54.95,-56.23,SAT-HIGH,RAD,RAD,RSA2
2013,35,9/4/2013,2130,54.71,-57.37,SAT-HIGH,RAD,RAD,RSA2
2013,36,9/4/2013,2130,51.67,-55.91,SAT-HIGH,RAD,RAD,RSA2
