ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2021,22,10/1/2020,2133,55.19833,-58.195,SAT-HIGH,GEN,GEN,RCM1
2021,12,10/2/2020,2109,54.73667,-50.63833,SAT-HIGH,GEN,GEN,RCM2
2021,8,10/2/2020,2142,59.13333,-63.31833,SAT-HIGH,GEN,GEN,RCM1
2021,38,10/2/2020,2142,57.335,-59.37167,SAT-HIGH,GEN,GEN,RCM1
2021,41,10/2/2020,2142,60.52833,-61.345,SAT-HIGH,GEN,GEN,RCM1
2021,42,10/2/2020,2142,58.11333,-62.22667,SAT-HIGH,GEN,GEN,RCM1
2021,43,10/2/2020,2142,56.22333,-59.1,SAT-HIGH,GEN,GEN,RCM1
2021,35,10/3/2020,2113,52.78667,-54.565,SAT-HIGH,GEN,GEN,RCM2
2021,10,10/3/2020,2150,56.52167,-60.265,SAT-HIGH,GEN,GEN,RCM1
2021,29,10/3/2020,2150,58.005,-59.94667,SAT-HIGH,GEN,GEN,RCM1
2021,36,10/3/2020,2150,57.30167,-60.95333,SAT-HIGH,GEN,GEN,RCM1
2021,35,10/4/2020,1718,52.545,-54.48667,VIS,DD,MED,FBPZ
2021,26,10/4/2020,2121,54.21,-52.99167,SAT-HIGH,GEN,GEN,RCM2
2021,35,10/4/2020,2121,52.5,-54.54,SAT-HIGH,GEN,GEN,RCM2
2021,35,10/5/2020,1417,52.35667,-54.66333,R/V,DD,MED,FBPZ
2021,43,10/5/2020,2134,55.99667,-58.95167,SAT-HIGH,GEN,GEN,RCM2
2021,10,10/6/2020,1008,56.36833,-59.95667,SAT-HIGH,GEN,GEN,RCM3
2021,29,10/6/2020,1008,57.94,-60.08167,SAT-HIGH,GEN,GEN,RCM3
2021,24,10/6/2020,2142,56.52,-60.265,SAT-HIGH,GEN,GEN,RCM2
2021,36,10/6/2020,2142,57.3,-60.955,SAT-HIGH,GEN,GEN,RCM2
