100	0.472	12.489	5.115	10.67	
200	0.771	9.581	8.096	16.39	
400	1.286	16.286	13.838000000000001	27.588	
800	2.385	29.106	25.311	52.976	
1600	4.607	56.321	49.28	100.276	
3200	8.919	110.648	95.007	197.362	
6400	18.254	216.746	194.01800000000003	395.20799999999997	
12800	37.244	441.760	397.22099999999995	786.346	
25600	75.152	898.880	842.281	1612.138	
51200	152.083	1810.090	1625.602	3264.4919999999997	
102400	304.803	3637.475	3285.953	6589.726000000001	
204800	618.740	7309.672	6802.488	13274.206000000002	
409600	1274.254	14679.137	13267.518	26436.498000000003	
819200	2555.168	29434.299	26650.876999999997	53111.014	
1638400	5027.777	59921.969	53868.011999999995	107374.916	
3276800	10471.326	130301.613	112591.996	227971.34800000003	
6553600	21741.825	278077.911	223437.291	447896.482	
