ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2003,27,4/19/2003,1941,45.82,-46.80,R/V,MED,TAB,1503
2003,27,4/21/2003,1352,45.87,-46.57,R/V,LG,GEN,1503
2003,27,4/21/2003,1600,45.86,-46.58,R/V,MED,BLK,LARZ
2003,28,3/1/2003,1605,51.13,-53.50,R/V,BB,TAB,GCFR
2003,29,3/1/2003,1605,51.08,-53.43,R/V,LG,TAB,GCFR
2003,29,3/16/2003,1316,50.00,-52.10,R/V,MED,DOM,GPCD
2003,29,3/21/2003,1851,49.67,-51.71,R/V,MED,NTB,1504
2003,29,4/3/2003,2122,48.56,-49.06,R/V,MED,DD,GPCD
2003,29,4/8/2003,1755,48.30,-47.47,R/V,SM,DD,GPCD
2003,30,3/1/2003,1605,51.25,-53.42,VIS,BB,NTB,GCFR
2003,31,3/1/2003,1605,51.38,-53.30,VIS,BB,NTB,GCFR
2003,32,3/1/2003,1605,51.10,-53.12,VIS,SM,NTB,GCFR
2003,32,3/21/2003,1800,49.38,-50.30,VIS,SM,DD,1504
2003,33,3/1/2003,1605,51.33,-53.12,VIS,BB,NTB,GCFR
2003,34,3/1/2003,1605,51.42,-53.13,VIS,MED,PIN,GCFR
2003,34,3/16/2003,1326,50.34,-51.94,R/V,MED,PIN,GPCD
2003,34,4/8/2003,1734,48.49,-48.39,R/V,SM,TAB,GPCD
2003,35,3/1/2003,1610,51.28,-52.98,VIS,BB,NTB,GCFR
2003,36,3/1/2003,1610,51.32,-52.83,VIS,BB,NTB,GCFR
2003,37,3/1/2003,1615,51.27,-52.42,VIS,BB,NTB,GCFR
2003,38,3/1/2003,1615,51.15,-52.37,VIS,MED,PIN,GCFR
2003,38,3/17/2003,1953,49.64,-49.76,R/V,MED,DD,GPCD
2003,39,3/1/2003,1615,51.12,-52.23,VIS,SM,TAB,GCFR
2003,40,3/1/2003,1750,51.97,-53.83,VIS,SM,NTB,GCFR
2003,40,3/16/2003,1329,50.38,-51.78,R/V,SM,DOM,GPCD
2003,40,4/3/2003,2109,48.57,-49.19,R/V,MED,DD,GPCD
2003,41,3/1/2003,1750,51.87,-53.87,R/V,LG,TAB,GCFR
2003,42,3/1/2003,1750,51.77,-54.00,VIS,LG,PIN,GCFR
2003,42,3/17/2003,1928,49.72,-51.95,RAD,LG,PIN,GPCD
2003,42,4/5/2003,1642,47.80,-47.75,R/V,MED,TAB,1503
2003,42,4/21/2003,1605,46.33,-45.35,RAD,GEN,GEN,1503
2003,43,3/1/2003,1750,51.80,-54.03,VIS,SM,TAB,GCFR
2003,43,3/16/2003,1322,50.15,-51.76,R/V,SM,TAB,GPCD
2003,43,3/21/2003,1852,49.58,-51.42,VIS,MED,NTB,1504
2003,43,4/3/2003,2106,48.33,-48.81,R/V,SM,DD,GPCD
2003,44,3/1/2003,1750,51.93,-54.03,R/V,SM,TAB,GCFR
2003,44,3/13/2003,1924,50.55,-52.19,RAD,SM,TAB,GPCD
2003,44,4/8/2003,1731,48.66,-48.65,R/V,MED,TAB,GPCD
2003,45,3/1/2003,1750,51.88,-54.05,R/V,SM,TAB,GCFR
2003,46,3/1/2003,1750,51.92,-54.25,VIS,LG,TAB,GCFR
2003,47,3/1/2003,1750,51.82,-54.30,VIS,SM,TAB,GCFR
2003,47,3/17/2003,1931,49.87,-51.18,RAD,SM,TAB,GPCD
