ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2002,1,2/14/2002,1200,50.67,-54.15,VIS,SM,DD,BAPS
2002,1,3/1/2002,1503,49.16,-52.58,R/V,MED,PIN,GPCD
2002,1,3/17/2002,1200,48.07,-49.00,R/V,SM,WDG,JNIC
2002,1,3/21/2002,1125,47.24,-47.61,RAD,SM,WDG,GPCD
2002,2,2/14/2002,1200,50.43,-54.05,VIS,SM,NTB,BAPS
2002,2,3/1/2002,1503,49.00,-52.46,R/V,BB,TAB,GPCD
2002,2,3/17/2002,1200,47.85,-48.90,R/V,GR,GEN,JNIC
2002,2,3/19/2002,130,47.45,-48.30,RAD,BB,TAB,SHIP
2002,2,3/21/2002,1203,46.88,-49.07,R/V,GR,DD,GPCD
2002,3,2/14/2002,1200,50.25,-53.01,RAD,RAD,RAD,BAPS
2002,3,3/3/2002,1935,50.02,-51.87,RAD,RAD,RAD,1501
2002,3,3/16/2002,1950,49.37,-49.91,R/V,BB,DD,GPCD
2002,3,3/21/2002,1321,47.72,-49.46,R/V,GR,DD,GPCD
2002,3,3/30/2002,1825,47.17,-47.65,R/V,BB,TAB,GPCD
2002,3,4/1/2002,1901,46.68,-47.28,R/V,MED,DD,1501
2002,3,4/3/2002,1627,46.22,-47.18,R/V,LG,DOM,1501
2002,4,2/14/2002,1200,50.74,-54.42,RAD,RAD,RAD,BAPS
2002,4,2/26/2002,1300,49.70,-53.62,VIS,MED,DD,CGHL
2002,4,3/21/2002,1003,47.81,-50.71,RAD,MED,DD,GPCD
2002,4,3/23/2002,1334,47.80,-50.65,RAD,MED,DD,GPCD
2002,4,4/17/2002,1821,46.88,-47.73,R/V,MED,DD,GPCD
2002,4,4/28/2002,2044,43.11,-49.54,R/V,GEN,GEN,ELYM
2002,5,2/14/2002,1200,50.13,-53.72,RAD,RAD,RAD,BAPS
2002,6,2/14/2002,1200,49.84,-52.75,RAD,RAD,RAD,BAPS
2002,6,3/1/2002,2056,48.75,-50.38,R/V,SM,PIN,1501
2002,6,3/1/2002,1236,49.00,-50.09,R/V,SM,DD,GPCD
2002,7,2/14/2002,1200,51.19,-52.59,VIS,MED,NTB,BAPS
