ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2014,1,10/7/2013,2139,60.46,-63.51,SAT-HIGH,RAD,RAD,RSA2
2014,1,10/27/2013,2156,59.88,-62.65,SAT-HIGH,RAD,RAD,RSA2
2014,1,11/6/2013,1607,59.87,-62.66,RAD,GEN,GEN,GCFR
2014,1,12/10/2013,1044,59.2,-62.38,SAT-HIGH,RAD,RAD,RSA2
2014,2,11/24/2013,2138,57.25,-59.16,SAT-HIGH,RAD,RAD,RSA2
2014,2,1/2/2014,1502,52.34,-54.93,R/V,SM,DD,GGAO
2014,3,11/24/2013,2138,56.26,-60.15,SAT-HIGH,RAD,RAD,RSA2
2014,3,1/2/2014,1441,53.21,-55.39,R/V,MED,DD,GGAO
2014,4,12/4/2013,2147,59.41,-60.2,SAT-HIGH,RAD,RAD,RSA2
2014,4,1/10/2014,1834,54.97,-55.13,R/V,GEN,GEN,GPGR
2014,4,1/29/2014,1422,51.18,-52.71,R/V,SM,TAB,GPGR
2014,4,1/30/2014,1355,53.77,-52.46,R/V,MED,DD,GPGR
2014,4,1/31/2014,1903,53.36,-51.78,R/V,SM,GEN,GPGR
2014,5,12/8/2013,2130,57.41,-59.42,SAT-HIGH,RAD,RAD,RSA2
2014,5,1/2/2014,1332,53.52,-52.34,R/V,GEN,GEN,GGAO
2014,5,1/10/2014,2013,51.01,-51.03,R/V,SM,DD,GPGR
2014,5,1/25/2014,1359,49.51,-48.75,R/V,GEN,GEN,GGAO
2014,6,12/10/2013,1044,59.82,-62.59,SAT-HIGH,RAD,RAD,RSA2
2014,7,12/12/2013,1308,54.21,-56,R/V,MED,DD,GTJZ
2014,7,12/23/2013,1714,51.52,-54.54,R/V,GEN,DD,GGAO
2014,7,1/2/2014,1522,51.43,-55.32,R/V,MED,DD,GGAO
2014,8,12/23/2013,1234,51.06,-54.41,R/V,SM,DD,GGAO
2014,9,1/5/2014,1256,51.63,-51.14,R/V,SM,DD,GPGR
2014,10,1/5/2014,1300,51.69,-51.28,R/V,SM,DD,GPGR
2014,11,1/5/2014,1259,51.7,-51.26,R/V,GEN,DD,GPGR
2014,12,1/5/2014,1302,51.73,-51.34,R/V,MED,DD,GPGR
2014,13,1/5/2014,1306,51.78,-51.33,R/V,GEN,DD,GPGR
2014,14,1/6/2014,1546,50.07,-54.7,R/V,MED,TAB,GGAO
