ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2019,18,10/1/2018,1026,59.41,-61.2333,SAT-HIGH,GEN,GEN,RSA2
2019,38,10/1/2018,1026,59.5733,-60.94,SAT-HIGH,GEN,GEN,RSA2
2019,39,10/1/2018,1026,58.9533,-61.4267,SAT-HIGH,GEN,GEN,RSA2
2019,10,10/2/2018,957,57.21,-59.7533,SAT-HIGH,GEN,GEN,RSA2
2019,17,10/2/2018,957,58.0217,-60.385,SAT-HIGH,GEN,GEN,RSA2
2019,4,10/2/2018,957,57.8817,-60.2883,SAT-HIGH,GEN,GEN,RSA2
2019,12,10/2/2018,2124,56.0133,-58.785,SAT-HIGH,GEN,GEN,RSA2
2019,9,10/2/2018,2124,56.645,-60.05,SAT-HIGH,GEN,GEN,RSA2
2019,37,10/2/2018,2124,55.29,-58.575,SAT-HIGH,GEN,GEN,RSA2
2019,10,10/2/2018,2125,57.18,-59.775,SAT-HIGH,GEN,GEN,RSA2
2019,40,10/2/2018,2125,59.1083,-61.3617,SAT-HIGH,GEN,GEN,RSA2
2019,17,10/2/2018,2125,57.955,-60.4467,SAT-HIGH,GEN,GEN,RSA2
2019,18,10/2/2018,2125,59.255,-60.9183,SAT-HIGH,GEN,GEN,RSA2
2019,41,10/4/2018,1039,59.5117,-63.4167,SAT-HIGH,GEN,GEN,RSA2
2019,42,10/4/2018,1039,59.3233,-61.5367,SAT-HIGH,GEN,GEN,RSA2
2019,2,10/5/2018,1009,59.3267,-62.36,SAT-HIGH,GEN,GEN,RSA2
2019,33,10/5/2018,1009,60.455,-63.6683,SAT-HIGH,GEN,GEN,RSA2
2019,40,10/5/2018,1009,59.14,-61.5217,SAT-HIGH,GEN,GEN,RSA2
2019,41,10/5/2018,1009,59.54,-63.5383,SAT-HIGH,GEN,GEN,RSA2
2019,43,10/5/2018,1009,59.2933,-63.06,SAT-HIGH,GEN,GEN,RSA2
2019,45,10/5/2018,1009,59.825,-61.65,SAT-HIGH,GEN,GEN,RSA2
2019,30,10/5/2018,1009,60.765,-62.9617,SAT-HIGH,GEN,GEN,RSA2
2019,31,10/5/2018,1009,60.9867,-62.7517,SAT-HIGH,GEN,GEN,RSA2
2019,38,10/5/2018,1009,59.4283,-60.59,SAT-HIGH,GEN,GEN,RSA2
2019,42,10/5/2018,1009,59.505,-61.7633,SAT-HIGH,GEN,GEN,RSA2
2019,44,10/5/2018,1009,60.015,-60.9417,SAT-HIGH,GEN,GEN,RSA2
2019,46,10/5/2018,1009,59.7017,-63.6583,SAT-HIGH,GEN,GEN,RSA2
2019,8,10/8/2018,1023,55.685,-59.4867,SAT-HIGH,GEN,GEN,RSA2
2019,48,10/8/2018,2149,56.49,-59.865,SAT-HIGH,GEN,GEN,RSA2
2019,47,10/8/2018,2149,56.7933,-59.7417,SAT-HIGH,GEN,GEN,RSA2
2019,40,10/8/2018,2150,58.9767,-61.25,SAT-HIGH,GEN,GEN,RSA2
2019,52,10/8/2018,2150,58.7317,-61.3883,SAT-HIGH,GEN,GEN,RSA2
2019,53,10/8/2018,2150,58.475,-61.9283,SAT-HIGH,GEN,GEN,RSA2
2019,49,10/8/2018,2150,56.7933,-59.7417,SAT-HIGH,GEN,GEN,RSA2
2019,51,10/8/2018,2150,59.2133,-61.6583,SAT-HIGH,GEN,GEN,RSA2
2019,21,10/9/2018,953,54.995,-54.4217,SAT-HIGH,GEN,GEN,RSA2
2019,50,10/9/2018,953,56.675,-59.605,SAT-HIGH,GEN,GEN,RSA2
2019,35,10/9/2018,2120,56.575,-58.0167,SAT-HIGH,GEN,GEN,RSA2
2019,13,10/9/2018,2120,55.5783,-56.54,SAT-HIGH,GEN,GEN,RSA2
2019,33,10/11/2018,1035,60.2717,-63.0083,SAT-HIGH,GEN,GEN,RSA2
2019,41,10/11/2018,1035,59.1633,-62.855,SAT-HIGH,GEN,GEN,RSA2
2019,54,10/11/2018,1035,61.135,-63.5733,SAT-HIGH,GEN,GEN,RSA2
2019,55,10/11/2018,1035,57.065,-60.11,SAT-HIGH,GEN,GEN,RSA2
2019,2,10/12/2018,1005,58.87,-61.8733,SAT-HIGH,GEN,GEN,RSA2
2019,40,10/12/2018,1005,58.5083,-61.125,SAT-HIGH,GEN,GEN,RSA2
2019,41,10/12/2018,1005,59.1783,-62.67,SAT-HIGH,GEN,GEN,RSA2
2019,45,10/12/2018,1005,59.6333,-60.9567,SAT-HIGH,GEN,GEN,RSA2
2019,52,10/12/2018,1005,58.1517,-61.105,SAT-HIGH,GEN,GEN,RSA2
2019,33,10/12/2018,1005,60.1067,-63.195,SAT-HIGH,GEN,GEN,RSA2
2019,43,10/12/2018,1005,58.9683,-62.3517,SAT-HIGH,GEN,GEN,RSA2
2019,56,10/12/2018,1005,61.065,-63.22,SAT-HIGH,GEN,GEN,RSA2
2019,57,10/12/2018,1005,61.0383,-62.8333,SAT-HIGH,GEN,GEN,RSA2
2019,58,10/12/2018,1005,61.1033,-62.835,SAT-HIGH,GEN,GEN,RSA2
2019,59,10/12/2018,1005,58.8417,-60.2133,SAT-HIGH,GEN,GEN,RSA2
2019,35,10/12/2018,1006,56.0367,-57.855,SAT-HIGH,GEN,GEN,RSA2
2019,27,10/12/2018,1006,54.68,-54.5983,SAT-HIGH,GEN,GEN,RSA2
2019,60,10/12/2018,2132,55.8917,-57.8783,SAT-HIGH,GEN,GEN,RSA2
2019,41,10/12/2018,2133,59.1867,-62.6667,SAT-HIGH,GEN,GEN,RSA2
2019,45,10/12/2018,2133,59.5133,-60.7717,SAT-HIGH,GEN,GEN,RSA2
2019,53,10/12/2018,2133,57.7133,-61.1067,SAT-HIGH,GEN,GEN,RSA2
2019,32,10/12/2018,2134,60.175,-62.2383,SAT-HIGH,GEN,GEN,RSA2
2019,61,10/12/2018,2134,60.165,-63.3317,SAT-HIGH,GEN,GEN,RSA2
2019,62,10/15/2018,1526,51.8583,-54.8083,R/V,SM,DOM,GTJZ
2019,63,10/15/2018,1601,53.0733,-52.64,VIS,MED,DD,GTJZ
2019,70,10/18/2018,1030,59.595,-62.155,SAT-HIGH,GEN,GEN,RSA2
2019,65,10/18/2018,1030,59.875,-62.2367,SAT-HIGH,GEN,GEN,RSA2
2019,66,10/18/2018,1030,59.8533,-62.8083,SAT-HIGH,GEN,GEN,RSA2
2019,67,10/18/2018,1030,59.8733,-62.8467,SAT-HIGH,GEN,GEN,RSA2
2019,68,10/18/2018,1030,59.745,-62.6117,SAT-HIGH,GEN,GEN,RSA2
2019,69,10/18/2018,1030,59.6567,-62.6833,SAT-HIGH,GEN,GEN,RSA2
2019,2,10/18/2018,1031,58.2633,-61.5617,SAT-HIGH,GEN,GEN,RSA2
2019,74,10/18/2018,2158,58.3083,-61.58,SAT-HIGH,GEN,GEN,RSA2
